cluster_id,code,distinct_colors,config_count,extL,extA,extB,trnL,trnA,trnB,max_dE_in_cluster,mean_dE_in_cluster,max_trn_dE_in_cluster,mean_trn_dE_in_cluster,source,source_idx,stack_desc,stack_json
36,anchor_36,14,28,43.48,-4.08,-2.23,78.04,-6.82,5.14,1.0385,0.4031,2.0277,1.0066,enthermal-plus-inboard.json,1482,C270 Clear 6mm / Ar90 9.07mm / SB60 Clear 6mm / Vacuum 0.25mm / Clear 5mm,"[{""type"":""glass"",""coating"":""C270"",""substrate"":""Clear"",""thickness"":6},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":9.07},{""type"":""glass"",""coating"":""SB60"",""substrate"":""Clear"",""thickness"":6},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":5}]"
37,anchor_37,5,10,43.5,-4.7,-7.24,72.16,-8.75,3.67,0.4252,0.1477,0.6293,0.3499,enthermal-plus-inboard.json,1300,XTR6129 Clear 6mm / Ar90 9.76mm / SB70 Clear 5mm / Vacuum 0.25mm / Clear 5mm,"[{""type"":""glass"",""coating"":""XTR6129"",""substrate"":""Clear"",""thickness"":6},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":9.76},{""type"":""glass"",""coating"":""SB70"",""substrate"":""Clear"",""thickness"":5},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":5}]"
38,anchor_38,8,32,43.51,-5.17,-1.43,75.31,-8.03,5.37,0.3679,0.219,0.8425,0.3352,enthermal-plus-inboard.json,1058,C366 Clear 5mm / Ar90 11.05mm / Clear 5mm / Vacuum 0.25mm / C270 Clear 5mm,"[{""type"":""glass"",""coating"":""C366"",""substrate"":""Clear"",""thickness"":5},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":11.05},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":5},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":""C270"",""substrate"":""Clear"",""thickness"":5}]"
39,anchor_39,10,20,43.73,-3.66,-7.82,72.67,-8.24,3.56,0.5338,0.2627,1.0897,0.4233,enthermal-plus-outboard.json,733,XTR6129 Clear 6mm / Vacuum 0.25mm / Clear 6mm / Ar90 8.48mm / SB70 Clear 5mm,"[{""type"":""glass"",""coating"":""XTR6129"",""substrate"":""Clear"",""thickness"":6},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":6},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":8.48},{""type"":""glass"",""coating"":""SB70"",""substrate"":""Clear"",""thickness"":5}]"
40,anchor_40,20,40,43.75,-4.26,-3.62,73.67,-9.4,6.88,1.2511,0.7005,2.0984,0.8011,enthermal-plus-inboard.json,411,C366 Clear 6mm / Ar90 11.55mm / SB70 Clear 4mm / Vacuum 0.25mm / Clear 4mm,"[{""type"":""glass"",""coating"":""C366"",""substrate"":""Clear"",""thickness"":6},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":11.55},{""type"":""glass"",""coating"":""SB70"",""substrate"":""Clear"",""thickness"":4},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":4}]"
41,anchor_41,24,64,44.06,-6.02,0.01,78.93,-5.99,5.03,0.7687,0.4066,1.402,0.6237,enthermal-plus-inboard.json,1072,SB60 Clear 5mm / Ar90 11.08mm / Clear 5mm / Vacuum 0.25mm / C270 Clear 5mm,"[{""type"":""glass"",""coating"":""SB60"",""substrate"":""Clear"",""thickness"":5},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":11.08},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":5},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":""C270"",""substrate"":""Clear"",""thickness"":5}]"
42,anchor_42,19,40,44.09,-2.93,-7.83,77.33,-7.07,1.57,1.4369,0.6003,2.8391,1.081,enthermal-plus-inboard.json,2206,XTR6129 Clear 6mm / Ar90 7.75mm / Clear 6mm / Vacuum 0.25mm / C180 Clear 6mm,"[{""type"":""glass"",""coating"":""XTR6129"",""substrate"":""Clear"",""thickness"":6},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":7.75},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":6},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":""C180"",""substrate"":""Clear"",""thickness"":6}]"
43,anchor_43,30,54,44.12,-6.0,-13.17,66.47,-9.48,-3.95,1.1046,0.4007,2.3909,0.7327,enthermal-plus-inboard.json,300,C340 Clear 5mm / Ar90 12.45mm / Clear 4mm / Vacuum 0.25mm / LUMI Clear 4mm,"[{""type"":""glass"",""coating"":""C340"",""substrate"":""Clear"",""thickness"":5},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":12.45},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":4},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":""LUMI"",""substrate"":""Clear"",""thickness"":4}]"
44,anchor_44,66,170,44.14,-6.88,-12.6,61.27,-10.43,-3.03,1.0181,0.5337,1.8309,0.9511,enthermal-plus-inboard.json,1156,C340 Clear 6mm / Ar90 10.05mm / C270 Clear 5mm / Vacuum 0.25mm / Clear 5mm,"[{""type"":""glass"",""coating"":""C340"",""substrate"":""Clear"",""thickness"":6},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":10.05},{""type"":""glass"",""coating"":""C270"",""substrate"":""Clear"",""thickness"":5},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":5}]"
45,anchor_45,8,16,44.21,-2.15,-8.16,81.23,-5.69,4.54,0.4734,0.2777,1.1334,0.6993,enthermal-plus-inboard.json,536,SKN183 Clear 6mm / Ar90 11.25mm / SB60 Clear 4mm / Vacuum 0.25mm / Clear 4mm,"[{""type"":""glass"",""coating"":""SKN183"",""substrate"":""Clear"",""thickness"":6},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":11.25},{""type"":""glass"",""coating"":""SB60"",""substrate"":""Clear"",""thickness"":4},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":4}]"
46,anchor_46,24,64,44.44,-4.39,-0.34,78.93,-5.99,5.03,0.6857,0.3988,1.402,0.6307,enthermal-plus-outboard.json,424,C270 Clear 5mm / Vacuum 0.25mm / Clear 5mm / Ar90 11.08mm / SB60 Clear 5mm,"[{""type"":""glass"",""coating"":""C270"",""substrate"":""Clear"",""thickness"":5},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":5},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":11.08},{""type"":""glass"",""coating"":""SB60"",""substrate"":""Clear"",""thickness"":5}]"
47,anchor_47,16,48,44.48,-1.05,-4.73,89.39,-3.86,3.92,0.7867,0.4314,0.8682,0.4141,enthermal-plus-inboard.json,1808,LUMI Clear 6mm / Ar90 8.15mm / Clear 6mm / Vacuum 0.25mm / LUMI Clear 5mm,"[{""type"":""glass"",""coating"":""LUMI"",""substrate"":""Clear"",""thickness"":6},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":8.15},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":6},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":""LUMI"",""substrate"":""Clear"",""thickness"":5}]"
