Product Type,Comment,Total Thickness (mm),Outer Lite (Name_Thickness mm),Outer Lite NFRC ID,Outer Lite Low-E,Inner Lite (Name_Thickness mm),Inner Lite NFRC ID,Inner Lite Low-E,U-value NFRC (W/m²K),U-value NFRC (BTU/hrftF),R-value NFRC,SHGC,Tvis (Visible Transmittance),Exterior Visible Reflectance,Transmitted Color L*,Transmitted Color a*,Transmitted Color b*,Exterior Reflected Color L*,Exterior Reflected Color a*,Exterior Reflected Color b*,T-UV,NFRC,CEN,g-factor,U-value CEN (W/m�K)
Enthermal,SB60 6mm / Vacuum 0.25mm / Clear 4mm,9.95,Clear  6mm,5284,Solarban® 60 S2,Clear Float Glass,413,,0.3486,0.0614,16.29,0.3737,0.707,0.1078,87.3,-4.12,2.88,39.21,-1.55,-2.43,0.1853,Yes,No,,
Enthermal,SB60 6mm / Vacuum 0.25mm / Clear 5mm,10.65,Clear  6mm,5284,Solarban® 60 S2,Clear Float Glass,414,,0.3485,0.0614,16.29,0.3738,0.7022,0.1073,87.06,-4.35,2.93,39.12,-1.6,-2.43,0.1813,Yes,No,,
Enthermal,SB60 6mm / Vacuum 0.25mm / Clear 6mm,11.75,Clear  6mm,5284,Solarban® 60 S2,Clear Float Glass,415,,0.3484,0.0614,16.3,0.3732,0.6974,0.1083,86.83,-4.67,2.89,39.3,-1.71,-2.36,0.1781,Yes,No,,
Enthermal,SB70 4mm / Vacuum 0.25mm / Clear 4mm,8.15,Solarban® 70 glass  4mm,5433,Solarban® 70 S2,Clear Float Glass,413,,0.2808,0.0494,20.22,0.2562,0.6532,0.1355,84.57,-5.69,4.79,43.65,-3.1,-4.65,0.0653,Yes,No,,
Enthermal,SB70 5mm / Vacuum 0.25mm / Clear 4mm,8.95,Solarban® 70 glass  5mm,5434,Solarban® 70 S2,Clear Float Glass,413,,0.2807,0.0494,20.23,0.2548,0.6501,0.1347,84.41,-5.88,4.79,43.53,-3.26,-4.61,0.0641,Yes,No,,
Enthermal,SB70 5mm / Vacuum 0.25mm / Clear 5mm,9.65,Solarban® 70 glass  5mm,5434,Solarban® 70 S2,Clear Float Glass,414,,0.2806,0.0494,20.23,0.2549,0.6458,0.1342,84.19,-6.09,4.84,43.47,-3.29,-4.61,0.0627,Yes,No,,
Enthermal,SB70 6mm / Vacuum 0.25mm / Clear 4mm,9.95,Solarban® 70 glass  6mm,5439,Solarban® 70 S2,Clear Float Glass,413,,0.2806,0.0494,20.23,0.2531,0.6462,0.1336,84.21,-6.12,4.79,43.37,-3.48,-4.55,0.0625,Yes,No,,
Enthermal,SB70 6mm / Vacuum 0.25mm / Clear 5mm,10.65,Solarban® 70 glass  6mm,5439,Solarban® 70 S2,Clear Float Glass,414,,0.2806,0.0494,20.24,0.2532,0.6419,0.1332,83.99,-6.33,4.85,43.31,-3.51,-4.55,0.0612,Yes,No,,
Enthermal,SB70 6mm / Vacuum 0.25mm / Clear 6mm,11.75,Solarban® 70 glass  6mm,5439,Solarban® 70 S2,Clear Float Glass,415,,0.2805,0.0494,20.24,0.2528,0.6376,0.134,83.77,-6.62,4.8,43.44,-3.59,-4.49,0.0602,Yes,No,,
Enthermal,SB67 5mm / Vacuum 0.25mm / Clear 4mm,8.95,Clear  5mm,5475,Solarban® R67 S2,Clear Float Glass,413,,0.3503,0.0617,16.21,0.2728,0.5431,0.1915,78.75,-6.54,0.86,50.99,-2.87,-6.96,0.1176,Yes,No,,
Enthermal,SB67 5mm / Vacuum 0.25mm / Clear 5mm,9.65,Clear  5mm,5475,Solarban® R67 S2,Clear Float Glass,414,,0.3502,0.0617,16.22,0.2729,0.5395,0.1912,78.54,-6.74,0.91,50.95,-2.88,-6.96,0.1148,Yes,No,,
Enthermal,SB67 6mm / Vacuum 0.25mm / Clear 4mm,9.95,Clear  6mm,5476,Solarban® R67 S2,Clear Float Glass,413,,0.3501,0.0617,16.22,0.2697,0.5399,0.1898,78.57,-6.79,0.86,50.79,-3.11,-6.9,0.1146,Yes,No,,
Enthermal,SB67 6mm / Vacuum 0.25mm / Clear 5mm,10.65,Clear  6mm,5476,Solarban® R67 S2,Clear Float Glass,414,,0.35,0.0616,16.22,0.2698,0.5362,0.1895,78.35,-6.99,0.92,50.76,-3.12,-6.89,0.1119,Yes,No,,
Enthermal,SB67 6mm / Vacuum 0.25mm / Clear 6mm,11.75,Clear  6mm,5476,Solarban® R67 S2,Clear Float Glass,415,,0.3499,0.0616,16.23,0.2693,0.5327,0.1901,78.15,-7.28,0.88,50.83,-3.18,-6.87,0.1098,Yes,No,,
